unix_timestamp,date_time,open,low,high,close,volume,sentiment_core__prob_positive_1,sentiment_core__prob_negative_1,sentiment_core__prob_neutral_1,sentiment_core__compound_score_1,sentiment_core__sentiment_confidence_1,market_psychology__fud_index_1,market_psychology__fomo_index_1,market_psychology__hype_index_1,topic_category_confidence__topic_regulation_1,topic_category_confidence__topic_institutional_1,topic_category_confidence__topic_security_breach_1,topic_category_confidence__topic_fed_macro_1,entity_targeted_sentiment__sent_bitcoin_1,entity_targeted_sentiment__sent_exchanges_1,entity_targeted_sentiment__sent_regulators_1,metadata__clickbait_score_1,metadata__has_price_prediction_1,sentiment_core__prob_positive_2,sentiment_core__prob_negative_2,sentiment_core__prob_neutral_2,sentiment_core__compound_score_2,sentiment_core__sentiment_confidence_2,market_psychology__fud_index_2,market_psychology__fomo_index_2,market_psychology__hype_index_2,topic_category_confidence__topic_regulation_2,topic_category_confidence__topic_institutional_2,topic_category_confidence__topic_security_breach_2,topic_category_confidence__topic_fed_macro_2,entity_targeted_sentiment__sent_bitcoin_2,entity_targeted_sentiment__sent_exchanges_2,entity_targeted_sentiment__sent_regulators_2,metadata__clickbait_score_2,metadata__has_price_prediction_2
1523034000,2018-04-06 17:00:00+00:00,6590.0,6588.65,6645.67,6627.74,89.17298707,0.2,0.7,0.1,-0.5,0.8,0.7,0.1,0.2,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.3,0.0,0.2,0.7,0.1,-0.5,0.8,0.7,0.1,0.2,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.3,0.0
1523037600,2018-04-06 18:00:00+00:00,6627.0,6594.6,6635.99,6595.43,156.71317844,0.6,0.2,0.2,0.4,0.7,0.1,0.3,0.4,0.2,0.8,0.1,0.1,0.5,0.2,0.1,0.2,0.0,0.4,0.3,0.3,0.1,0.7,0.2,0.1,0.2,0.1,0.3,0.1,0.2,0.1,0.1,0.1,0.3,0.0
1523041200,2018-04-06 19:00:00+00:00,6606.8,6575.23,6610.0,6603.09,167.27947085,0.2,0.6,0.2,-0.4,0.8,0.7,0.1,0.2,0.1,0.3,0.1,0.8,-0.3,0.1,0.2,0.3,0.0,0.3,0.5,0.2,-0.2,0.7,0.6,0.2,0.3,0.2,0.9,0.1,0.1,0.3,0.2,0.1,0.3,0.0
1523044800,2018-04-06 20:00:00+00:00,6603.09,6584.91,6640.87,6618.83,310.83631741,0.3,0.2,0.5,0.1,0.4,0.2,0.3,0.4,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.6,0.0,0.7,0.1,0.2,0.6,0.8,0.1,0.4,0.5,0.1,0.2,0.1,0.1,0.7,0.2,0.1,0.3,0.0
1523048400,2018-04-06 21:00:00+00:00,6618.92,6591.26,6628.6,6613.9,252.62430963,0.3,0.6,0.1,-0.3,0.8,0.7,0.2,0.3,0.2,0.1,0.1,0.1,-0.5,0.1,0.1,0.8,0.0,0.6,0.1,0.3,0.5,0.8,0.1,0.2,0.3,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.3,0.0
1523052000,2018-04-06 22:00:00+00:00,6614.99,6584.38,6639.69,6606.58,389.6460065,0.2,0.7,0.1,-0.5,0.8,0.8,0.1,0.2,0.1,0.3,0.1,0.1,0.1,0.1,0.2,0.6,0.0,0.2,0.7,0.1,-0.5,0.8,0.8,0.1,0.2,0.1,0.3,0.1,0.1,0.1,0.1,0.2,0.6,0.0
1523055600,2018-04-06 23:00:00+00:00,6606.75,6559.87,6622.06,6619.36,208.82580470000002,0.3,0.2,0.5,0.1,0.6,0.2,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.4,0.0,0.3,0.2,0.5,0.1,0.6,0.2,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.4,0.0
1523059200,2018-04-07 00:00:00+00:00,6619.36,6593.0,6626.5,6608.29,90.38771666,0.3,0.2,0.5,0.1,0.6,0.2,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.4,0.0,0.3,0.2,0.5,0.1,0.6,0.2,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.4,0.0
1523062800,2018-04-07 01:00:00+00:00,6608.29,6600.15,6638.63,6607.15,207.59110064,0.3,0.2,0.5,0.1,0.6,0.2,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.4,0.0,0.3,0.2,0.5,0.1,0.6,0.2,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.4,0.0
1523066400,2018-04-07 02:00:00+00:00,6606.62,6547.12,6619.3,6547.13,228.03886494,0.4,0.2,0.4,0.2,0.7,0.1,0.3,0.4,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.5,0.0,0.4,0.2,0.4,0.2,0.7,0.1,0.3,0.4,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.5,0.0
1523070000,2018-04-07 03:00:00+00:00,6547.12,6539.69,6631.71,6618.33,174.97197082,0.4,0.2,0.4,0.2,0.7,0.1,0.3,0.4,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.5,0.0,0.4,0.2,0.4,0.2,0.7,0.1,0.3,0.4,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.5,0.0
1523073600,2018-04-07 04:00:00+00:00,6627.7,6600.99,6638.63,6635.27,106.65690194,0.3,0.2,0.5,0.1,0.6,0.1,0.2,0.1,0.1,0.1,0.1,0.3,0.1,0.1,0.1,0.2,0.0,0.3,0.2,0.5,0.1,0.7,0.2,0.1,0.1,0.1,0.1,0.1,0.3,0.1,0.1,0.1,0.2,0.0
1523077200,2018-04-07 05:00:00+00:00,6639.35,6639.35,6900.0,6837.87,1288.22262325,0.3,0.2,0.5,0.1,0.4,0.1,0.1,0.2,0.1,0.1,0.1,0.3,0.1,0.1,0.1,0.2,0.0,0.2,0.7,0.1,-0.5,0.8,0.8,0.2,0.3,0.1,0.2,0.1,0.1,-0.6,0.1,0.1,0.3,0.0
1523080800,2018-04-07 06:00:00+00:00,6849.5,6804.18,6857.3,6832.62,414.15400285,0.3,0.2,0.5,0.1,0.4,0.1,0.1,0.2,0.1,0.1,0.1,0.3,0.1,0.1,0.1,0.2,0.0,0.2,0.7,0.1,-0.5,0.8,0.8,0.2,0.3,0.1,0.2,0.1,0.1,-0.6,0.1,0.1,0.3,0.0
1523084400,2018-04-07 07:00:00+00:00,6839.32,6823.79,6877.0,6860.15,199.79068341,0.3,0.2,0.5,0.1,0.4,0.1,0.1,0.2,0.1,0.1,0.1,0.3,0.1,0.1,0.1,0.2,0.0,0.2,0.7,0.1,-0.5,0.8,0.8,0.2,0.3,0.1,0.2,0.1,0.1,-0.6,0.1,0.1,0.3,0.0
1523088000,2018-04-07 08:00:00+00:00,6868.1,6830.0,6868.1,6852.0,117.90816195000001,0.3,0.2,0.5,0.1,0.4,0.1,0.1,0.2,0.1,0.1,0.1,0.3,0.1,0.1,0.1,0.2,0.0,0.2,0.7,0.1,-0.5,0.8,0.8,0.2,0.3,0.1,0.2,0.1,0.1,-0.6,0.1,0.1,0.3,0.0
1523091600,2018-04-07 09:00:00+00:00,6852.0,6831.71,6896.41,6846.68,252.19337019,0.3,0.2,0.5,0.1,0.4,0.1,0.1,0.2,0.1,0.1,0.1,0.3,0.1,0.1,0.1,0.2,0.0,0.2,0.7,0.1,-0.5,0.8,0.8,0.2,0.3,0.1,0.2,0.1,0.1,-0.6,0.1,0.1,0.3,0.0
1523095200,2018-04-07 10:00:00+00:00,6849.43,6845.95,6889.98,6864.76,292.2140035,0.3,0.6,0.1,-0.3,0.7,0.7,0.2,0.3,0.4,0.2,0.1,0.5,0.2,0.1,0.3,0.4,0.0,0.8,0.1,0.1,0.7,0.8,0.1,0.7,0.8,0.2,0.6,0.1,0.2,0.8,0.3,0.2,0.7,0.0
