open,high,low,close,volume
120.0,120.72298,119.453384,119.57454,1134837.9
119.57454,119.85178,118.31731,119.10153,2630524.8
119.10153,119.796776,117.408394,117.98965,2500295.0
117.98965,118.91349,117.467186,118.70706,3193867.8
118.70706,119.43566,118.12089,119.10765,2145484.5
119.10765,119.4749,116.359314,116.63697,1857707.0
116.63697,116.921425,113.67353,114.1583,2367991.8
114.1583,114.879875,113.56957,114.805565,1268476.8
114.805565,115.020256,113.601395,113.72496,1296881.6
113.72496,114.41728,113.099785,114.15407,1364093.9
114.15407,115.42332,113.58469,115.18004,2029468.4
115.18004,115.67776,113.07069,113.65903,1008981.1
113.65903,113.742874,111.56761,112.04715,943996.25
112.04715,114.20242,111.8455,113.94947,1289852.8
113.94947,114.447845,113.60598,114.37387,1460806.9
114.37387,114.87108,113.85626,113.96625,914669.44
113.96625,114.382095,112.652596,113.0486,1339823.9
113.0486,113.52794,112.47249,112.5881,1582557.0
112.5881,113.022804,111.09068,111.50293,1466884.2
111.50293,112.522285,111.35882,112.34601,1105970.2
112.34601,112.663055,111.5951,111.70174,926065.8
111.70174,112.81397,111.633255,112.655495,1534402.5
112.655495,113.022415,112.06354,112.364746,886226.6
112.364746,112.55383,111.45625,111.56321,1157211.1
111.56321,111.73129,111.16576,111.27205,1506718.2
111.27205,111.61211,109.29762,109.38919,1036589.5
109.38919,109.6869,109.20875,109.33964,576217.94
109.33964,109.66689,108.940186,109.25956,518417.84
109.25956,109.8849,109.084465,109.8326,663657.94
109.8326,109.93353,108.57523,108.68004,868088.6
108.68004,109.53457,108.60324,109.42142,776378.6
109.42142,110.14278,109.3837,109.98663,1391346.8
109.98663,110.97532,109.852356,110.80931,790793.75
110.80931,110.92317,110.74834,110.81219,610353.0
110.81219,111.702415,110.774895,111.45758,469394.22
111.45758,111.54605,110.57474,110.63097,915577.06
110.63097,111.29199,110.51887,111.08042,637158.9
111.08042,111.32458,110.46406,110.681854,393240.25
110.681854,110.85946,109.76471,109.80861,611680.9
109.80861,109.92142,109.048775,109.23927,443290.34
109.23927,109.34749,109.066505,109.27686,514937.28
109.27686,109.33383,108.65742,108.88709,575940.75
108.88709,109.30481,108.820335,109.11094,428570.44
109.11094,109.24012,108.054375,108.254364,477096.66
108.254364,108.28827,107.0668,107.27511,430756.34
107.27511,108.17567,107.04866,107.94625,423621.38
107.94625,108.55373,107.75789,108.392815,379535.25
108.392815,108.58797,107.903984,107.951775,441328.9
107.951775,108.0942,107.74093,107.98472,381947.5
107.98472,108.67773,107.8022,108.46658,589034.94
108.46658,108.74242,108.40382,108.682014,514320.25
108.682014,108.83621,108.62919,108.77953,681323.44
108.77953,109.46722,108.58096,109.27651,830675.4
109.27651,109.47234,108.94251,108.994484,592642.25
108.994484,109.15931,108.82432,109.042366,544435.8
109.042366,109.11431,108.94467,109.06948,586401.75
109.06948,109.14762,108.833786,108.99037,535718.44
108.99037,109.150314,108.82745,108.86493,466002.84
108.86493,109.11231,108.70599,108.93028,468422.94
108.93028,109.06653,108.812004,108.97939,347190.12
108.97939,109.01219,108.379524,108.57132,607972.7
108.57132,109.11112,108.51231,108.95753,486576.7
108.95753,109.122826,108.52846,108.57115,745705.8
108.57115,108.67293,108.45497,108.51339,623941.0
108.51339,108.64401,108.38875,108.42441,388965.7
108.42441,108.81325,108.22053,108.607666,677925.3
108.607666,108.67409,107.723724,107.76703,215612.48
107.76703,108.2889,107.71006,108.16351,818401.25
108.16351,108.29447,107.758644,107.92527,303741.06
107.92527,108.571915,107.86046,108.45177,526882.9
108.45177,108.62776,108.235756,108.29553,509373.62
108.29553,108.440956,108.15237,108.310074,639823.94
108.310074,109.24882,108.21584,109.13355,418463.2
109.13355,109.17722,108.87683,109.05327,243039.3
109.05327,109.747955,108.91505,109.597015,414961.22
109.597015,109.69213,109.52405,109.64767,422512.03
109.64767,109.87585,109.518585,109.85073,243023.38
109.85073,110.02209,109.67416,109.913704,451154.47
109.913704,110.40808,109.8288,110.28563,318379.66
